index,countryenc,priceenc,pointsenc,region_1enc,reviewenc,user_nameenc,provinceenc,wineryenc,countryenc + priceenc,pointsenc + user_nameenc,region_1enc + user_nameenc,pointsenc + region_1enc,priceenc + provinceenc,reviewenc + wineryenc,region_1enc + reviewenc,countryenc + provinceenc,provinceenc + user_nameenc,countryenc + pointsenc,countryenc + user_nameenc,priceenc + user_nameenc,region_1enc + wineryenc,pointsenc + provinceenc,provinceenc + wineryenc,priceenc + wineryenc,provinceenc + reviewenc,provinceenc + region_1enc,countryenc + wineryenc,countryenc + reviewenc,priceenc + reviewenc,user_nameenc + wineryenc,pointsenc + priceenc,pointsenc + wineryenc,pointsenc + reviewenc,countryenc + region_1enc,priceenc + region_1enc,reviewenc + user_nameenc,countryenc * priceenc,pointsenc * user_nameenc,region_1enc * user_nameenc,pointsenc * region_1enc,priceenc * provinceenc,reviewenc * wineryenc,region_1enc * reviewenc,countryenc * provinceenc,provinceenc * user_nameenc,countryenc * pointsenc,countryenc * user_nameenc,priceenc * user_nameenc,region_1enc * wineryenc,pointsenc * provinceenc,provinceenc * wineryenc,priceenc * wineryenc,provinceenc * reviewenc,provinceenc * region_1enc,countryenc * wineryenc,countryenc * reviewenc,priceenc * reviewenc,user_nameenc * wineryenc,pointsenc * priceenc,pointsenc * wineryenc,pointsenc * reviewenc,countryenc * region_1enc,priceenc * region_1enc,reviewenc * user_nameenc,variety
256,6,41,13,159,1,7,50,2250,47,20,166,172,91,2251,160,56,57,19,13,48,2409,63,2300,2291,51,209,2256,7,42,2257,54,2263,14,165,200,8,246,91,1113,2067,2050,2250,159,300,350,78,42,287,357750,650,112500,92250,50,7950,13500,6,41,15750,533,29250,13,954,6519,7,Syrah
257,3,20,11,10,1,0,0,3949,23,11,10,21,20,3950,11,3,0,14,3,20,3959,11,3949,3969,1,10,3952,4,21,3949,31,3960,12,13,30,1,60,0,0,110,0,3949,10,0,0,33,0,0,39490,0,0,78980,0,0,11847,3,20,0,220,43439,11,30,200,0,Chardonnay
258,6,60,13,25,1,6,7,4697,66,19,31,38,67,4698,26,13,13,19,12,66,4722,20,4704,4757,8,32,4703,7,61,4703,73,4710,14,31,85,7,360,78,150,325,420,4697,25,42,42,78,36,360,117425,91,32879,281820,7,175,28182,6,60,28182,780,61061,13,150,1500,6,Pinot Noir
259,6,21,10,453,1,7,50,3063,27,17,460,463,71,3064,454,56,57,16,13,28,3516,60,3113,3084,51,503,3069,7,22,3070,31,3073,11,459,474,8,126,70,3171,4530,1050,3063,453,300,350,60,42,147,1387539,500,153150,64323,50,22650,18378,6,21,21441,210,30630,10,2718,9513,7,Red Blend
260,3,4,4,179,0,1,37,1411,7,5,180,183,41,1411,179,40,38,7,4,5,1590,41,1448,1415,37,216,1414,3,4,1412,8,1415,4,182,183,1,12,4,179,716,148,0,0,111,37,12,3,4,252569,148,52207,5644,0,6623,4233,0,0,1411,16,5644,0,537,716,0,Red Blend
261,3,16,7,48,1,10,3,1082,19,17,58,55,19,1083,49,6,13,10,13,26,1130,10,1085,1098,4,51,1085,4,17,1092,23,1089,8,51,64,11,48,70,480,336,48,1082,48,9,30,21,30,160,51936,21,3246,17312,3,144,3246,3,16,10820,112,7574,7,144,768,10,Pinot Noir
262,6,36,8,539,1,9,7,4958,42,17,548,547,43,4959,540,13,16,14,15,45,5497,15,4965,4994,8,546,4964,7,37,4967,44,4966,9,545,575,10,216,72,4851,4312,252,4958,539,42,63,48,54,324,2672362,56,34706,178488,7,3773,29748,6,36,44622,288,39664,8,3234,19404,9,Cabernet Sauvignon
263,4,113,9,60,1,4,46,2218,117,13,64,69,159,2219,61,50,50,13,8,117,2278,55,2264,2331,47,106,2222,5,114,2222,122,2227,10,64,173,5,452,36,240,540,5198,2218,60,184,184,36,16,452,133080,414,102028,250634,46,2760,8872,4,113,8872,1017,19962,9,240,6780,4,Red Blend
264,6,61,11,239,1,7,32,1760,67,18,246,250,93,1761,240,38,39,17,13,68,1999,43,1792,1821,33,271,1766,7,62,1767,72,1771,12,245,300,8,366,77,1673,2629,1952,1760,239,192,224,66,42,427,420640,352,56320,107360,32,7648,10560,6,61,12320,671,19360,11,1434,14579,7,Cabernet Sauvignon
265,6,38,7,640,1,11,50,3114,44,18,651,647,88,3115,641,56,61,13,17,49,3754,57,3164,3152,51,690,3120,7,39,3125,45,3121,8,646,678,12,228,77,7040,4480,1900,3114,640,300,550,42,66,418,1992960,350,155700,118332,50,32000,18684,6,38,34254,266,21798,7,3840,24320,11,Red Blend
266,6,44,12,518,1,6,7,104,50,18,524,530,51,105,519,13,13,18,12,50,622,19,111,148,8,525,110,7,45,110,56,116,13,524,562,7,264,72,3108,6216,308,104,518,42,42,72,36,264,53872,84,728,4576,7,3626,624,6,44,624,528,1248,12,3108,22792,6,Cabernet Sauvignon
267,6,49,16,453,2,7,50,146,55,23,460,469,99,148,455,56,57,22,13,56,599,66,196,195,52,503,152,8,51,153,65,162,18,459,502,9,294,112,3171,7248,2450,292,906,300,350,96,42,343,66138,800,7300,7154,100,22650,876,12,98,1022,784,2336,32,2718,22197,14,Cabernet Sauvignon
268,4,56,8,252,1,4,20,611,60,12,256,260,76,612,253,24,24,12,8,60,863,28,631,667,21,272,615,5,57,615,64,619,9,256,308,5,224,32,1008,2016,1120,611,252,80,80,32,16,224,153972,160,12220,34216,20,5040,2444,4,56,2444,448,4888,8,1008,14112,4,Red Blend
269,6,31,8,159,1,7,50,2814,37,15,166,167,81,2815,160,56,57,14,13,38,2973,58,2864,2845,51,209,2820,7,32,2821,39,2822,9,165,190,8,186,56,1113,1272,1550,2814,159,300,350,48,42,217,447426,400,140700,87234,50,7950,16884,6,31,19698,248,22512,8,954,4929,7,Red Blend
270,4,66,9,39,1,4,35,371,70,13,43,48,101,372,40,39,39,13,8,70,410,44,406,437,36,74,375,5,67,375,75,380,10,43,105,5,264,36,156,351,2310,371,39,140,140,36,16,264,14469,315,12985,24486,35,1365,1484,4,66,1484,594,3339,9,156,2574,4,Red Blend
271,3,18,9,10,1,0,0,4551,21,9,10,19,18,4552,11,3,0,12,3,18,4561,9,4551,4569,1,10,4554,4,19,4551,27,4560,10,13,28,1,54,0,0,90,0,4551,10,0,0,27,0,0,45510,0,0,81918,0,0,13653,3,18,0,162,40959,9,30,180,0,Chardonnay
272,6,71,11,5,1,9,7,3181,77,20,14,16,78,3182,6,13,16,17,15,80,3186,18,3188,3252,8,12,3187,7,72,3190,82,3192,12,11,76,10,426,99,45,55,497,3181,5,42,63,66,54,639,15905,77,22267,225851,7,35,19086,6,71,28629,781,34991,11,30,355,9,Pinot Noir
273,6,13,6,399,0,3,7,5216,19,9,402,405,20,5216,399,13,10,12,9,16,5615,13,5223,5229,7,406,5222,6,13,5219,19,5222,6,405,412,3,78,18,1197,2394,91,0,0,42,21,36,18,39,2081184,42,36512,67808,0,2793,31296,0,0,15648,78,31296,0,2394,5187,0,Pinot Noir
274,6,20,7,388,1,9,7,2627,26,16,397,395,27,2628,389,13,16,13,15,29,3015,14,2634,2647,8,395,2633,7,21,2636,27,2634,8,394,408,10,120,63,3492,2716,140,2627,388,42,63,42,54,180,1019276,49,18389,52540,7,2716,15762,6,20,23643,140,18389,7,2328,7760,9,Red Blend
275,4,24,7,126,1,4,46,4126,28,11,130,133,70,4127,127,50,50,11,8,28,4252,53,4172,4150,47,172,4130,5,25,4130,31,4133,8,130,150,5,96,28,504,882,1104,4126,126,184,184,28,16,96,519876,322,189796,99024,46,5796,16504,4,24,16504,168,28882,7,504,3024,4,Red Blend
276,6,36,8,414,1,6,7,4457,42,14,420,422,43,4458,415,13,13,14,12,42,4871,15,4464,4493,8,421,4463,7,37,4463,44,4465,9,420,450,7,216,48,2484,3312,252,4457,414,42,42,48,36,216,1845198,56,31199,160452,7,2898,26742,6,36,26742,288,35656,8,2484,14904,6,Red Blend
277,6,50,11,557,1,6,7,3342,56,17,563,568,57,3343,558,13,13,17,12,56,3899,18,3349,3392,8,564,3348,7,51,3348,61,3353,12,563,607,7,300,66,3342,6127,350,3342,557,42,42,66,36,300,1861494,77,23394,167100,7,3899,20052,6,50,20052,550,36762,11,3342,27850,6,Cabernet Sauvignon
278,3,8,8,151,1,1,37,818,11,9,152,159,45,819,152,40,38,11,4,9,969,45,855,826,38,188,821,4,9,819,16,826,9,154,159,2,24,8,151,1208,296,818,151,111,37,24,3,8,123518,296,30266,6544,37,5587,2454,3,8,818,64,6544,8,453,1208,1,Red Blend
279,4,36,5,262,0,4,35,2865,40,9,266,267,71,2865,262,39,39,9,8,40,3127,40,2900,2901,35,297,2869,4,36,2869,41,2870,5,266,298,4,144,20,1048,1310,1260,0,0,140,140,20,16,144,750630,175,100275,103140,0,9170,11460,0,0,11460,180,14325,0,1048,9432,0,Red Blend
280,6,31,11,478,1,9,7,2999,37,20,487,489,38,3000,479,13,16,17,15,40,3477,18,3006,3030,8,485,3005,7,32,3008,42,3010,12,484,509,10,186,99,4302,5258,217,2999,478,42,63,66,54,279,1433522,77,20993,92969,7,3346,17994,6,31,26991,341,32989,11,2868,14818,9,Cabernet Sauvignon
281,6,21,7,159,1,11,50,2720,27,18,170,166,71,2721,160,56,61,13,17,32,2879,57,2770,2741,51,209,2726,7,22,2731,28,2727,8,165,180,12,126,77,1749,1113,1050,2720,159,300,550,42,66,231,432480,350,136000,57120,50,7950,16320,6,21,29920,147,19040,7,954,3339,11,Red Blend
282,6,36,8,316,1,9,7,3568,42,17,325,324,43,3569,317,13,16,14,15,45,3884,15,3575,3604,8,323,3574,7,37,3577,44,3576,9,322,352,10,216,72,2844,2528,252,3568,316,42,63,48,54,324,1127488,56,24976,128448,7,2212,21408,6,36,32112,288,28544,8,1896,11376,9,Cabernet Sauvignon
283,6,56,15,453,2,7,50,616,62,22,460,468,106,618,455,56,57,21,13,63,1069,65,666,672,52,503,622,8,58,623,71,631,17,459,509,9,336,105,3171,6795,2800,1232,906,300,350,90,42,392,279048,750,30800,34496,100,22650,3696,12,112,4312,840,9240,30,2718,25368,14,Syrah
284,2,19,7,405,1,7,5,4843,21,14,412,412,24,4844,406,7,12,9,9,26,5248,12,4848,4862,6,410,4845,3,20,4850,26,4850,8,407,424,8,38,49,2835,2835,95,4843,405,10,35,14,14,133,1961415,35,24215,92017,5,2025,9686,2,19,33901,133,33901,7,810,7695,7,Bordeaux-style White Blend
285,5,14,9,459,1,12,28,4546,19,21,471,468,42,4547,460,33,40,14,17,26,5005,37,4574,4560,29,487,4551,6,15,4558,23,4555,10,464,473,13,70,108,5508,4131,392,4546,459,140,336,45,60,168,2086614,252,127288,63644,28,12852,22730,5,14,54552,126,40914,9,2295,6426,12,Red Blend
286,0,26,8,590,1,12,21,4524,26,20,602,598,47,4525,591,21,33,8,12,38,5114,29,4545,4550,22,611,4524,1,27,4536,34,4532,9,590,616,13,0,96,7080,4720,546,4524,590,0,252,0,0,312,2669160,168,95004,117624,21,12390,0,0,26,54288,208,36192,8,0,15340,12,Red Blend
287,4,104,10,39,1,4,35,505,108,14,43,49,139,506,40,39,39,14,8,108,544,45,540,609,36,74,509,5,105,509,114,515,11,43,143,5,416,40,156,390,3640,505,39,140,140,40,16,416,19695,350,17675,52520,35,1365,2020,4,104,2020,1040,5050,10,156,4056,4,Red Blend
288,6,81,13,229,1,7,32,190,87,20,236,242,113,191,230,38,39,19,13,88,419,45,222,271,33,261,196,7,82,197,94,203,14,235,310,8,486,91,1603,2977,2592,190,229,192,224,78,42,567,43510,416,6080,15390,32,7328,1140,6,81,1330,1053,2470,13,1374,18549,7,Chardonnay
289,6,26,5,159,0,11,50,2819,32,16,170,164,76,2819,159,56,61,11,17,37,2978,55,2869,2845,50,209,2825,6,26,2830,31,2824,5,165,185,11,156,55,1749,795,1300,0,0,300,550,30,66,286,448221,250,140950,73294,0,7950,16914,0,0,31009,130,14095,0,954,4134,0,Chardonnay
290,3,44,11,10,1,10,0,2078,47,21,20,21,44,2079,11,3,10,14,13,54,2088,11,2078,2122,1,10,2081,4,45,2088,55,2089,12,13,54,11,132,110,100,110,0,2078,10,0,0,33,30,440,20780,0,0,91432,0,0,6234,3,44,20780,484,22858,11,30,440,10,Chardonnay
291,6,31,6,159,0,7,50,2442,37,13,166,165,81,2442,159,56,57,12,13,38,2601,56,2492,2473,50,209,2448,6,31,2449,37,2448,6,165,190,7,186,42,1113,954,1550,0,0,300,350,36,42,217,388278,300,122100,75702,0,7950,14652,0,0,17094,186,14652,0,954,4929,0,Chardonnay
292,6,42,13,557,1,6,7,4252,48,19,563,570,49,4253,558,13,13,19,12,48,4809,20,4259,4294,8,564,4258,7,43,4258,55,4265,14,563,599,7,252,78,3342,7241,294,4252,557,42,42,78,36,252,2368364,91,29764,178584,7,3899,25512,6,42,25512,546,55276,13,3342,23394,6,Red Blend
293,5,25,8,461,1,12,28,4986,30,20,473,469,53,4987,462,33,40,13,17,37,5447,36,5014,5011,29,489,4991,6,26,4998,33,4994,9,466,486,13,125,96,5532,3688,700,4986,461,140,336,40,60,300,2298546,224,139608,124650,28,12908,24930,5,25,59832,200,39888,8,2305,11525,12,Red Blend
294,3,41,9,245,1,5,17,2091,44,14,250,254,58,2092,246,20,22,12,8,46,2336,26,2108,2132,18,262,2094,4,42,2096,50,2100,10,248,286,6,123,45,1225,2205,697,2091,245,51,85,27,15,205,512295,153,35547,85731,17,4165,6273,3,41,10455,369,18819,9,735,10045,5,Red Blend
295,6,22,4,316,0,3,7,1693,28,7,319,320,29,1693,316,13,10,10,9,25,2009,11,1700,1715,7,323,1699,6,22,1696,26,1697,4,322,338,3,132,12,948,1264,154,0,0,42,21,24,18,66,534988,28,11851,37246,0,2212,10158,0,0,5079,88,6772,0,1896,6952,0,Chardonnay
296,6,44,10,388,1,9,7,593,50,19,397,398,51,594,389,13,16,16,15,53,981,17,600,637,8,395,599,7,45,602,54,603,11,394,432,10,264,90,3492,3880,308,593,388,42,63,60,54,396,230084,70,4151,26092,7,2716,3558,6,44,5337,440,5930,10,2328,17072,9,Cabernet Sauvignon
297,3,66,11,346,1,10,6,3828,69,21,356,357,72,3829,347,9,16,14,13,76,4174,17,3834,3894,7,352,3831,4,67,3838,77,3839,12,349,412,11,198,110,3460,3806,396,3828,346,18,60,33,30,660,1324488,66,22968,252648,6,2076,11484,3,66,38280,726,42108,11,1038,22836,10,Red Blend
298,4,36,8,126,1,4,46,2901,40,12,130,134,82,2902,127,50,50,12,8,40,3027,54,2947,2937,47,172,2905,5,37,2905,44,2909,9,130,162,5,144,32,504,1008,1656,2901,126,184,184,32,16,144,365526,368,133446,104436,46,5796,11604,4,36,11604,288,23208,8,504,4536,4,Red Blend
299,0,10,4,342,0,12,21,3018,10,16,354,346,31,3018,342,21,33,4,12,22,3360,25,3039,3028,21,363,3018,0,10,3030,14,3022,4,342,352,12,0,48,4104,1368,210,0,0,0,252,0,0,120,1032156,84,63378,30180,0,7182,0,0,0,36216,40,12072,0,0,3420,0,Red Blend
300,6,52,10,414,1,6,7,225,58,16,420,424,59,226,415,13,13,16,12,58,639,17,232,277,8,421,231,7,53,231,62,235,11,420,466,7,312,60,2484,4140,364,225,414,42,42,60,36,312,93150,70,1575,11700,7,2898,1350,6,52,1350,520,2250,10,2484,21528,6,Chardonnay
301,1,18,10,331,1,1,51,3260,19,11,332,341,69,3261,332,52,52,11,2,19,3591,61,3311,3278,52,382,3261,2,19,3261,28,3270,11,332,349,2,18,10,331,3310,918,3260,331,51,51,10,1,18,1079060,510,166260,58680,51,16881,3260,1,18,3260,180,32600,10,331,5958,1,Red Blend
302,3,12,10,510,1,10,19,2033,15,20,520,520,31,2034,511,22,29,13,13,22,2543,29,2052,2045,20,529,2036,4,13,2043,22,2043,11,513,522,11,36,100,5100,5100,228,2033,510,57,190,30,30,120,1036830,190,38627,24396,19,9690,6099,3,12,20330,120,20330,10,1530,6120,10,Red Blend
303,3,12,11,211,1,10,36,1475,15,21,221,222,48,1476,212,39,46,14,13,22,1686,47,1511,1487,37,247,1478,4,13,1485,23,1486,12,214,223,11,36,110,2110,2321,432,1475,211,108,360,33,30,120,311225,396,53100,17700,36,7596,4425,3,12,14750,132,16225,11,633,2532,10,Red Blend
304,6,14,7,159,1,7,50,2592,20,14,166,166,64,2593,160,56,57,13,13,21,2751,57,2642,2606,51,209,2598,7,15,2599,21,2599,8,165,173,8,84,49,1113,1113,700,2592,159,300,350,42,42,98,412128,350,129600,36288,50,7950,15552,6,14,18144,98,18144,7,954,2226,7,Red Blend
305,6,4,4,87,0,3,7,585,10,7,90,91,11,585,87,13,10,10,9,7,672,11,592,589,7,94,591,6,4,588,8,589,4,93,91,3,24,12,261,348,28,0,0,42,21,24,18,12,50895,28,4095,2340,0,609,3510,0,0,1755,16,2340,0,522,348,0,Pinot Noir
306,3,14,4,277,0,10,6,3463,17,14,287,281,20,3463,277,9,16,7,13,24,3740,10,3469,3477,6,283,3466,3,14,3473,18,3467,4,280,291,10,42,40,2770,1108,84,0,0,18,60,12,30,140,959251,24,20778,48482,0,1662,10389,0,0,34630,56,13852,0,831,3878,0,Pinot Noir
307,3,14,9,53,1,10,41,1377,17,19,63,62,55,1378,54,44,51,12,13,24,1430,50,1418,1391,42,94,1380,4,15,1387,23,1386,10,56,67,11,42,90,530,477,574,1377,53,123,410,27,30,140,72981,369,56457,19278,41,2173,4131,3,14,13770,126,12393,9,159,742,10,Red Blend
308,6,21,8,513,1,6,7,2328,27,14,519,521,28,2329,514,13,13,14,12,27,2841,15,2335,2349,8,520,2334,7,22,2334,29,2336,9,519,534,7,126,48,3078,4104,147,2328,513,42,42,48,36,126,1194264,56,16296,48888,7,3591,13968,6,21,13968,168,18624,8,3078,10773,6,Red Blend
309,5,26,13,459,1,12,28,3683,31,25,471,472,54,3684,460,33,40,18,17,38,4142,41,3711,3709,29,487,3688,6,27,3695,39,3696,14,464,485,13,130,156,5508,5967,728,3683,459,140,336,65,60,312,1690497,364,103124,95758,28,12852,18415,5,26,44196,338,47879,13,2295,11934,12,Red Blend
310,6,31,8,239,1,7,32,2235,37,15,246,247,63,2236,240,38,39,14,13,38,2474,40,2267,2266,33,271,2241,7,32,2242,39,2243,9,245,270,8,186,56,1673,1912,992,2235,239,192,224,48,42,217,534165,256,71520,69285,32,7648,13410,6,31,15645,248,17880,8,1434,7409,7,Cabernet Sauvignon
311,3,44,9,10,1,10,0,813,47,19,20,19,44,814,11,3,10,12,13,54,823,9,813,857,1,10,816,4,45,823,53,822,10,13,54,11,132,90,100,90,0,813,10,0,0,27,30,440,8130,0,0,35772,0,0,2439,3,44,8130,396,7317,9,30,440,10,Chardonnay
312,3,41,9,485,1,10,6,2073,44,19,495,494,47,2074,486,9,16,12,13,51,2558,15,2079,2114,7,491,2076,4,42,2083,50,2082,10,488,526,11,123,90,4850,4365,246,2073,485,18,60,27,30,410,1005405,54,12438,84993,6,2910,6219,3,41,20730,369,18657,9,1455,19885,10,Red Blend
313,3,11,11,100,1,10,4,1116,14,21,110,111,15,1117,101,7,14,14,13,21,1216,15,1120,1127,5,104,1119,4,12,1126,22,1127,12,103,111,11,33,110,1000,1100,44,1116,100,12,40,33,30,110,111600,44,4464,12276,4,400,3348,3,11,11160,121,12276,11,300,1100,10,Pinot Noir
314,6,29,3,564,0,9,7,3673,35,12,573,567,36,3673,564,13,16,9,15,38,4237,10,3680,3702,7,571,3679,6,29,3682,32,3676,3,570,593,9,174,27,5076,1692,203,0,0,42,63,18,54,261,2071572,21,25711,106517,0,3948,22038,0,0,33057,87,11019,0,3384,16356,0,Pinot Noir
315,6,21,3,281,0,11,50,1754,27,14,292,284,71,1754,281,56,61,9,17,32,2035,53,1804,1775,50,331,1760,6,21,1765,24,1757,3,287,302,11,126,33,3091,843,1050,0,0,300,550,18,66,231,492874,150,87700,36834,0,14050,10524,0,0,19294,63,5262,0,1686,5901,0,Chardonnay
316,6,15,8,159,1,11,50,4660,21,19,170,167,65,4661,160,56,61,14,17,26,4819,58,4710,4675,51,209,4666,7,16,4671,23,4668,9,165,174,12,90,88,1749,1272,750,4660,159,300,550,48,66,165,740940,400,233000,69900,50,7950,27960,6,15,51260,120,37280,8,954,2385,11,Red Blend
317,6,18,8,159,1,7,50,3610,24,15,166,167,68,3611,160,56,57,14,13,25,3769,58,3660,3628,51,209,3616,7,19,3617,26,3618,9,165,177,8,108,56,1113,1272,900,3610,159,300,350,48,42,126,573990,400,180500,64980,50,7950,21660,6,18,25270,144,28880,8,954,2862,7,Red Blend
318,4,25,7,126,1,4,46,726,29,11,130,133,71,727,127,50,50,11,8,29,852,53,772,751,47,172,730,5,26,730,32,733,8,130,151,5,100,28,504,882,1150,726,126,184,184,28,16,100,91476,322,33396,18150,46,5796,2904,4,25,2904,175,5082,7,504,3150,4,Red Blend
319,6,46,11,645,1,7,32,1932,52,18,652,656,78,1933,646,38,39,17,13,53,2577,43,1964,1978,33,677,1938,7,47,1939,57,1943,12,651,691,8,276,77,4515,7095,1472,1932,645,192,224,66,42,322,1246140,352,61824,88872,32,20640,11592,6,46,13524,506,21252,11,3870,29670,7,Cabernet Sauvignon
320,3,16,7,343,1,10,19,2899,19,17,353,350,35,2900,344,22,29,10,13,26,3242,26,2918,2915,20,362,2902,4,17,2909,23,2906,8,346,359,11,48,70,3430,2401,304,2899,343,57,190,21,30,160,994357,133,55081,46384,19,6517,8697,3,16,28990,112,20293,7,1029,5488,10,Red Blend
321,6,56,12,642,1,7,50,3273,62,19,649,654,106,3274,643,56,57,18,13,63,3915,62,3323,3329,51,692,3279,7,57,3280,68,3285,13,648,698,8,336,84,4494,7704,2800,3273,642,300,350,72,42,392,2101266,600,163650,183288,50,32100,19638,6,56,22911,672,39276,12,3852,35952,7,Cabernet Sauvignon
322,6,20,13,456,1,7,32,4902,26,20,463,469,52,4903,457,38,39,19,13,27,5358,45,4934,4922,33,488,4908,7,21,4909,33,4915,14,462,476,8,120,91,3192,5928,640,4902,456,192,224,78,42,140,2235312,416,156864,98040,32,14592,29412,6,20,34314,260,63726,13,2736,9120,7,Cabernet Sauvignon
323,0,38,11,342,1,12,21,2362,38,23,354,353,59,2363,343,21,33,11,12,50,2704,32,2383,2400,22,363,2362,1,39,2374,49,2373,12,342,380,13,0,132,4104,3762,798,2362,342,0,252,0,0,456,807804,231,49602,89756,21,7182,0,0,38,28344,418,25982,11,0,12996,12,Red Blend
324,0,7,4,577,0,12,21,140,7,16,589,581,28,140,577,21,33,4,12,19,717,25,161,147,21,598,140,0,7,152,11,144,4,577,584,12,0,48,6924,2308,147,0,0,0,252,0,0,84,80780,84,2940,980,0,12117,0,0,0,1680,28,560,0,0,4039,0,Red Blend
325,6,16,10,87,1,3,7,3041,22,13,90,97,23,3042,88,13,10,16,9,19,3128,17,3048,3057,8,94,3047,7,17,3044,26,3051,11,93,103,4,96,30,261,870,112,3041,87,42,21,60,18,48,264567,70,21287,48656,7,609,18246,6,16,9123,160,30410,10,522,1392,3,Red Blend
326,6,46,9,159,1,7,50,909,52,16,166,168,96,910,160,56,57,15,13,53,1068,59,959,955,51,209,915,7,47,916,55,918,10,165,205,8,276,63,1113,1431,2300,909,159,300,350,54,42,322,144531,450,45450,41814,50,7950,5454,6,46,6363,414,8181,9,954,7314,7,Syrah
327,6,38,11,513,1,6,7,2656,44,17,519,524,45,2657,514,13,13,17,12,44,3169,18,2663,2694,8,520,2662,7,39,2662,49,2667,12,519,551,7,228,66,3078,5643,266,2656,513,42,42,66,36,228,1362528,77,18592,100928,7,3591,15936,6,38,15936,418,29216,11,3078,19494,6,Cabernet Sauvignon
328,3,7,7,618,1,5,17,1777,10,12,623,625,24,1778,619,20,22,10,8,12,2395,24,1794,1784,18,635,1780,4,8,1782,14,1784,8,621,625,6,21,35,3090,4326,119,1777,618,51,85,21,15,35,1098186,119,30209,12439,17,10506,5331,3,7,8885,49,12439,7,1854,4326,5,Red Blend
329,6,54,10,388,1,9,7,1805,60,19,397,398,61,1806,389,13,16,16,15,63,2193,17,1812,1859,8,395,1811,7,55,1814,64,1815,11,394,442,10,324,90,3492,3880,378,1805,388,42,63,60,54,486,700340,70,12635,97470,7,2716,10830,6,54,16245,540,18050,10,2328,20952,9,Cabernet Sauvignon
330,3,28,10,436,1,10,6,1984,31,20,446,446,34,1985,437,9,16,13,13,38,2420,16,1990,2012,7,442,1987,4,29,1994,38,1994,11,439,464,11,84,100,4360,4360,168,1984,436,18,60,30,30,280,865024,60,11904,55552,6,2616,5952,3,28,19840,280,19840,10,1308,12208,10,Red Blend
331,3,31,12,200,1,10,6,2991,34,22,210,212,37,2992,201,9,16,15,13,41,3191,18,2997,3022,7,206,2994,4,32,3001,43,3003,13,203,231,11,93,120,2000,2400,186,2991,200,18,60,36,30,310,598200,72,17946,92721,6,1200,8973,3,31,29910,372,35892,12,600,6200,10,Red Blend
332,3,92,12,365,1,10,6,1935,95,22,375,377,98,1936,366,9,16,15,13,102,2300,18,1941,2027,7,371,1938,4,93,1945,104,1947,13,368,457,11,276,120,3650,4380,552,1935,365,18,60,36,30,920,706275,72,11610,178020,6,2190,5805,3,92,19350,1104,23220,12,1095,33580,10,Red Blend
333,4,16,10,126,1,4,46,4299,20,14,130,136,62,4300,127,50,50,14,8,20,4425,56,4345,4315,47,172,4303,5,17,4303,26,4309,11,130,142,5,64,40,504,1260,736,4299,126,184,184,40,16,64,541674,460,197754,68784,46,5796,17196,4,16,17196,160,42990,10,504,2016,4,Red Blend
334,6,44,15,515,2,6,7,384,50,21,521,530,51,386,517,13,13,21,12,50,899,22,391,428,9,522,390,8,46,390,59,399,17,521,559,8,264,90,3090,7725,308,768,1030,42,42,90,36,264,197760,105,2688,16896,14,3605,2304,12,88,2304,660,5760,30,3090,22660,12,Cabernet Sauvignon
335,6,96,10,388,1,9,7,5285,102,19,397,398,103,5286,389,13,16,16,15,105,5673,17,5292,5381,8,395,5291,7,97,5294,106,5295,11,394,484,10,576,90,3492,3880,672,5285,388,42,63,60,54,864,2050580,70,36995,507360,7,2716,31710,6,96,47565,960,52850,10,2328,37248,9,Cabernet Sauvignon
336,6,16,11,233,1,6,7,5292,22,17,239,244,23,5293,234,13,13,17,12,22,5525,18,5299,5308,8,240,5298,7,17,5298,27,5303,12,239,249,7,96,66,1398,2563,112,5292,233,42,42,66,36,96,1233036,77,37044,84672,7,1631,31752,6,16,31752,176,58212,11,1398,3728,6,Pinot Noir
337,6,61,14,641,2,11,32,1847,67,25,652,655,93,1849,643,38,43,20,17,72,2488,46,1879,1908,34,673,1853,8,63,1858,75,1861,16,647,702,13,366,154,7051,8974,1952,3694,1282,192,352,84,66,671,1183927,448,59104,112667,64,20512,11082,12,122,20317,854,25858,28,3846,39101,22,Red Blend
338,0,31,8,342,1,12,21,431,31,20,354,350,52,432,343,21,33,8,12,43,773,29,452,462,22,363,431,1,32,443,39,439,9,342,373,13,0,96,4104,2736,651,431,342,0,252,0,0,372,147402,168,9051,13361,21,7182,0,0,31,5172,248,3448,8,0,10602,12,Red Blend
339,6,11,9,159,1,11,50,909,17,20,170,168,61,910,160,56,61,15,17,22,1068,59,959,920,51,209,915,7,12,920,20,918,10,165,170,12,66,99,1749,1431,550,909,159,300,550,54,66,121,144531,450,45450,9999,50,7950,5454,6,11,9999,99,8181,9,954,1749,11,Red Blend
340,6,71,13,239,1,7,32,378,77,20,246,252,103,379,240,38,39,19,13,78,617,45,410,449,33,271,384,7,72,385,84,391,14,245,310,8,426,91,1673,3107,2272,378,239,192,224,78,42,497,90342,416,12096,26838,32,7648,2268,6,71,2646,923,4914,13,1434,16969,7,Chardonnay
